,gameid,result,ckpm,gspd,golddiffat15,firstblood,firsttower,firsttothreetowers,turretplates,firstherald,firstdragon,dragons,minionkills,monsterkills,wpm,wcpm,gd10,cspm,csd10,egpm
4175,ESPORTSTMNT03_3090322,0,0.755,0.0285785,-2344.0,0.0,0.0,0.0,1.0,1.0,0.0,0.167,0.509,0.458,3.4228,3.2466,-1112.0,31.5604,-6.0,206.643
24598,ESPORTSTMNT02_3162295,0,0.63,-0.079139,-1931.0,0.0,1.0,0.0,8.0,1.0,1.0,0.8,0.497,0.422,0.0,1.4616,563.0,31.4238,10.0,205.099
16583,ESPORTSTMNT01_3309955,0,0.3141,-0.0819099,-2225.0,0.0,0.0,0.0,1.0,0.0,0.0,0.167,0.49,0.435,3.4817,1.8586,-622.0,32.8272,-20.0,190.435
21731,ESPORTSTMNT02_3154050,1,1.0649,0.049788,-1125.0,1.0,0.0,0.0,1.0,0.0,1.0,0.6,0.512,0.534,0.0,2.4416,-1594.0,33.7662,-36.0,284.629
10402,ESPORTSTMNT01_3301190,1,0.9472,0.101946,2196.0,0.0,1.0,1.0,7.0,1.0,0.0,0.8,0.518,0.543,3.5147,2.8168,-603.0,31.882,26.0,253.356
37055,ESPORTSTMNT03_3125652,1,0.7497,0.0778515,-1524.0,1.0,0.0,1.0,3.0,0.0,0.0,0.5,0.515,0.528,3.2736,2.5489,-368.0,32.5864,-16.0,247.182
2326,ESPORTSTMNT04_2665186,1,0.4458,0.122635,22.0,1.0,1.0,1.0,2.0,1.0,0.0,0.667,0.505,0.505,3.1469,1.993,477.0,33.3566,-16.0,247.327
13511,ESPORTSTMNT01_3304845,1,0.6136,0.0486529,1302.0,0.0,1.0,1.0,5.0,0.0,0.0,0.5,0.485,0.568,4.8822,2.241,214.0,35.0289,2.0,256.237
19823,ESPORTSTMNT02_3152211,0,0.8359,-0.0773611,337.0,1.0,0.0,0.0,4.0,1.0,0.0,0.2,0.526,0.463,0.0,2.3248,437.0,32.7035,3.0,204.287
42635,ESPORTSTMNT03_3131433,0,0.7033,-0.0130666,463.0,1.0,0.0,0.0,3.0,0.0,1.0,0.333,0.503,0.448,4.0577,2.2453,-159.0,34.0036,8.0,209.973
15958,ESPORTSTMNT03_3102521,0,0.6352,-0.0998231,-531.0,0.0,1.0,1.0,6.0,0.0,1.0,0.429,0.49,0.453,4.1531,1.759,206.0,30.171,4.0,184.769
